scenario,heuristic,found,cost,expandedCount,uniqueExpandedCount,timeMs,ratio
"village","ucs","true","21","153","153","0.3680000000000021","1"
"village","manhattan","true","21","59","59","0.12979999999999947","1"
"village","euclidean","true","21","90","90","0.4363000000000028","1"
"village","chebyshev","true","21","101","101","0.13599999999999568","1"
"open","ucs","true","21","204","204","0.2774000000000001","1"
"open","manhattan","true","21","120","120","0.2916000000000025","1"
"open","euclidean","true","21","148","148","0.23029999999999973","1"
"open","chebyshev","true","21","152","152","0.13890000000000668","1"
"maze","ucs","true","39","141","141","0.08450000000000557","1"
"maze","manhattan","true","39","126","126","0.08699999999999619","1"
"maze","euclidean","true","39","133","133","0.09140000000000015","1"
"maze","chebyshev","true","39","133","133","0.09829999999999472","1"
"river","ucs","true","23","165","165","0.11430000000000007","1"
"river","manhattan","true","23","120","120","0.19300000000000495","1"
"river","euclidean","true","23","131","131","0.13989999999999725","1"
"river","chebyshev","true","23","139","139","0.1086000000000027","1"
"blocked","ucs","false",,"108","108","0.1016000000000048",
"blocked","manhattan","false",,"108","108","0.16380000000000194",
"blocked","euclidean","false",,"108","108","0.19460000000000122",
"blocked","chebyshev","false",,"108","108","0.2027000000000001",
